feature,mi_score
GGI9,2.284099428940711
GGI8,2.100022663903716
nSpiro,1.8811444283641219
Xc-4d,1.8135959882272552
NssNH,1.7861314380920985
nN,1.5307302338429187
n6ARing,1.5189439821386577
n5aRing,1.5183298842976163
NssssC,1.4770345550845756
n4Ring,1.4389187475364578
MDEC-14,1.4219123476343813
GhoseFilter,1.4161037302621997
EState_VSA1,1.414312234420351
C4SP3,1.29558092004495
NaaO,1.2942547485336267
PEOE_VSA3,1.2485011645392408
PEOE_VSA5,1.236220791129911
AATS8dv,1.2289461833387099
piPC9,1.2010720890240028
MDEO-11,1.1875935049313138
ETA_beta_ns_d,1.1742141947861546
Xch-4d,1.1527656043588255
ATS8dv,1.151662120875253
n7HRing,1.1372854385575701
n7Ring,1.1339651665393349
MINssssC,1.1338916849903806
nFRing,1.1078951320640635
GGI7,1.0897911644020242
nFARing,1.0813467958576968
n5HRing,1.0471732019630624
nAromAtom,1.0370979430431857
NdCH2,1.0365961762761282
SlogP_VSA11,1.01918317611176
NaaaC,0.9896622999325213
PEOE_VSA11,0.9705093747065154
NaasC,0.963998454095593
nAHRing,0.9491693326593653
n7FRing,0.9045454899536278
Radius,0.8888708156404113
Xch-3d,0.8884306901559524
NdO,0.853470253330096
SMR_VSA9,0.8491596310060119
PEOE_VSA10,0.8243922766386484
JGI7,0.8022290329921353
AATS7dv,0.8002010799893315
n6FRing,0.7974334110284866
n5ARing,0.7970748444746847
GATS8dv,0.7963465908163787
GATS8s,0.7922983935250598
VSA_EState9,0.7900867130449449
GGI6,0.7591537331673308
MINssCH2,0.7368880443243637
Xc-6d,0.7255418517037455
PEOE_VSA8,0.7080723538521512
MAXssCH2,0.7077796951586337
GATS8v,0.7072647898351732
piPC10,0.6987428274002001
ETA_dEpsilon_D,0.6913368000839468
ATSC1d,0.6864159753152661
MAXaasC,0.6828170415803374
NdssC,0.6749157955988543
GATS7d,0.6739397519449022
SlogP_VSA8,0.6654328275977752
nHRing,0.665144974557649
MDEO-12,0.6501426921836306
nBridgehead,0.6420506312868723
ATS7dv,0.6271977517210732
SssssC,0.6263024268645632
PEOE_VSA2,0.6202236347056882
BCUTs-1l,0.6151844301035654
AATSC0p,0.610028894704008
MDEC-24,0.6072228913344531
GATS8d,0.6063850214782107
MDEC-34,0.5897129346863563
JGI6,0.5851614031861514
SRW05,0.5845200968559183
AATS1s,0.5819139763221624
GATS8Z,0.5798575481759576
EState_VSA10,0.5783517612341647
Xc-3d,0.5662598676789501
ATSC2d,0.5619584422130508
AATSC4se,0.5613506131639356
C3SP3,0.5582294103444863
nARing,0.5547635847941272
ETA_epsilon_3,0.5533004408987403
ATSC0d,0.5442772685680404
VSA_EState8,0.5442675933177368
MATS1se,0.5289115523651553
Xc-3dv,0.5173554118742603
Xc-5d,0.515788718052169
SdssC,0.5156029842450769
ATSC0c,0.512543803603045
C2SP2,0.5122881980247427
n5Ring,0.5041815091948294
SMR_VSA4,0.5000834904479237
ATSC4se,0.4999565683758136
C1SP2,0.4982219779211481
nBondsKD,0.49243885580040736
AXp-5dv,0.4906234494604029
MAXsssCH,0.48124586573463635
BCUTd-1h,0.4760859149235426
MATS1d,0.47086896133682554
AATSC1d,0.4695845180294653
Xch-6d,0.4677060243871325
ATS3s,0.4578822536075684
BCUTs-1h,0.45666727657365724
SIC1,0.4556134486152623
SMR_VSA6,0.45534912002568273
MATS1dv,0.4537619007283631
MDEC-22,0.45291138397607744
ATSC4pe,0.448920813352101
EState_VSA2,0.44078542209345617
SsssCH,0.43701607906368745
ATSC3v,0.4359810841685783
SIC3,0.4334957003027542
EState_VSA6,0.43211316022540025
AATSC0v,0.42923540853898157
BCUTZ-1l,0.428264533991801
ATSC1se,0.422278094946158
ATSC2v,0.4207760572442334
SIC0,0.40727609255176533
AATS7d,0.4058931834769579
ATSC4v,0.4044992359165245
AATSC0d,0.40398966037721395
AETA_beta_s,0.402551811240508
SpMax_A,0.3939656035562029
ATSC3d,0.38773414147927454
AXp-0dv,0.3874242390603704
MIC2,0.38726438473345537
AATS0dv,0.3830456177864692
GATS5v,0.37942869273205915
ATS4s,0.3772683830752741
ATSC3Z,0.3771420080683092
SMR_VSA7,0.37663605447245496
AXp-6dv,0.3729028357449953
AATS0se,0.37220063009864557
ATS0d,0.3717137444017977
AXp-5d,0.3698836770119769
GATS3Z,0.36978903982010314
MINdssC,0.36952629618687194
TSRW10,0.36950303397221873
ATSC1pe,0.3687471024019522
GATS4dv,0.3680605623765132
C3SP2,0.3676366988518658
BCUTc-1h,0.3642856050563812
EState_VSA5,0.36306194898996047
mZagreb1,0.3624133379159278
JGI2,0.3594079946600721
ATSC1dv,0.3543640078214936
AATS6Z,0.3504840812675507
AATSC4pe,0.3491824004554296
SlogP_VSA3,0.34885518207687083
AATS4s,0.3487704547453574
MATS4se,0.3435101618262606
Xch-5d,0.34223613043556256
nBondsM,0.3421457641287744
ATSC2s,0.3414270180600858
nAtom,0.3399515174758476
ATS0s,0.3388621206847926
NssCH2,0.33875988171423765
AATSC2v,0.33874331556116655
MIC1,0.3375878284322429
GATS1dv,0.33640260799914934
C2SP3,0.33506544718713815
CIC2,0.3326762137483965
ETA_beta,0.3322919686982537
SlogP_VSA1,0.33105175320163305
MATS4d,0.33040009035102225
GATS7c,0.32943660788837903
MATS4pe,0.3274117326063175
IC1,0.3272696732947895
AATS3s,0.3239776939232901
fMF,0.32163551864200457
PEOE_VSA6,0.32071462687759267
ABC,0.3202730690737132
AXp-4d,0.31734258044242614
TIC1,0.31711149629149693
AATSC5c,0.31687530058967717
VSA_EState4,0.3156678557232304
AATSC6dv,0.3125642798313395
MAXsCH3,0.3111992683260758
GGI4,0.31036054603400265
GATS1c,0.3089022136798314
GGI3,0.3084553238226748
AATS5i,0.30757562083228596
PEOE_VSA9,0.30727479872122965
AATSC3Z,0.3042328982668572
CIC1,0.30406121912473827
Xp-6dv,0.30295518316694103
AATS7se,0.302675554591775
RPCG,0.3023421313474399
MDEC-13,0.30184862330603934
MDEC-12,0.2993043074639141
Xp-3d,0.2988281458313473
MDEC-11,0.29829642008615176
AATSC1dv,0.29687120119837607
piPC3,0.2964059560615677
MATS2d,0.29345678276666476
VSA_EState5,0.29257283192499584
NsCH3,0.2912744994976575
AATS0s,0.29116582177410466
AATSC2dv,0.2893958641319183
AATSC0i,0.2886633843241211
ETA_eta_F,0.28800367808124117
AATSC3v,0.28796004577781753
n6Ring,0.28707497006854465
AATS7s,0.2869139752016405
ATSC7se,0.28466881372234276
ETA_shape_p,0.2842538396958134
AATSC0dv,0.2817626670949771
AXp-6d,0.28157974251357754
AATSC4v,0.28086644834325947
C1SP3,0.27913115397067445
AATSC1s,0.2779734950556403
AETA_eta_R,0.2775898985541865
AXp-1dv,0.2773635688059106
MINsssCH,0.2743427032492063
ATS2s,0.274223912216502
nBondsD,0.27107523285961577
IC4,0.2706882360643532
IC3,0.2703942186245274
AATS4v,0.27020295248978954
GATS2d,0.2670771742783149
GATS3dv,0.26654195779021084
Xp-6d,0.2649875987880539
AATS6dv,0.2612166013579027
AATSC4dv,0.2599441232597286
FilterItLogS,0.25992694903069813
GATS6dv,0.25923766263065096
AATS6se,0.25766297498536295
ATSC2Z,0.2553405790600358
nHetero,0.2551339676532898
AATSC4s,0.2516122607847673
PEOE_VSA1,0.2515634181698032
AATS4dv,0.2508407581125227
AATSC5se,0.24928544465905667
nRot,0.24863357179486512
GATS3v,0.24852038984243574
AATS1se,0.24706241265111561
AATS5s,0.24606933467824854
AATS1p,0.24401308807110178
ATS6s,0.24146286947284423
BCUTi-1h,0.24033823392745157
AATSC4d,0.23860333345681095
MAXdssC,0.23796685776400084
NssO,0.2378739374840606
piPC6,0.2366887180418078
AATSC5v,0.23596868792537862
RNCG,0.2357671357311042
SIC2,0.23570789181602025
ATSC3s,0.2355018329290295
ATSC2dv,0.2344336608835671
NsssCH,0.2332228345052454
SLogP,0.23269759473504115
AATSC5p,0.23236472590455426
ATSC0s,0.23130936062246343
AATSC4Z,0.2305505073228229
AATSC3d,0.2302923416026066
ATSC7c,0.2275387552991872
MDEC-23,0.2267824186973173
AATS6s,0.22652081232439025
EState_VSA8,0.22418574110408906
ATSC0dv,0.22246449236792287
AATS4Z,0.22164827594084713
ATS4dv,0.22137643164838838
ATSC7dv,0.21945306951025723
AATS5se,0.2189620484355319
AATS6d,0.21870076937766925
MATS6se,0.2177069630311017
ATSC1s,0.21532233498326425
BCUTZ-1h,0.21504298237133934
AATS3d,0.21226861314136292
GATS5c,0.212189825823625
AATS8s,0.21042567853318994
AXp-7dv,0.21037620774683008
ATSC4s,0.2098054544431709
Kier2,0.20772493540305703
ATSC8dv,0.20755910982408343
ATSC4Z,0.20703476654876596
GATS2s,0.20689977430625772
ATSC4dv,0.2068066614694395
Xp-7dv,0.20636585569830945
GATS3d,0.20543616239133522
ATS5s,0.2051690652812388
AATSC2d,0.2050146159443793
ATS7d,0.20267066256399602
IC2,0.2018691523187326
AATSC3p,0.20141758107693875
GATS1s,0.19739163415142702
AATS6i,0.19523117107186616
ATS7s,0.1931566013655761
EState_VSA7,0.1928108972952387
TopoPSA(NO),0.1926492783953737
AATS4se,0.18942565938121936
AATSC6se,0.18799121049656176
fragCpx,0.1873997953050872
AATS5dv,0.18711282112829997
ATS0dv,0.1865608797214473
ATSC4d,0.18530000824142423
MAXdsCH,0.1848292870102064
ATSC1c,0.18346882534683262
ZMIC3,0.18323500632687484
BCUTc-1l,0.1817339313404367
AATS3Z,0.1803449972031017
AATS0v,0.1801678819032304
AATS7Z,0.17899367860170656
AATSC5pe,0.17622301730516865
MIC3,0.1735514101224993
ATSC5d,0.17169839649745589
EState_VSA9,0.17097786079443855
AATSC5dv,0.1678642738894367
AATSC7dv,0.16642874004564367
AATSC6s,0.16575612623910319
AATSC8se,0.16575146393467488
AATSC5s,0.1657482453846586
AXp-2d,0.16500204996984458
ATSC4c,0.16381884034365024
ATS8d,0.16289043758989363
ATSC1Z,0.16191403271340477
Kier3,0.15998121383661035
GATS4s,0.1594001232093203
BalabanJ,0.15917813368408185
SlogP_VSA2,0.15881597399427472
GATS6c,0.15818389408204814
AXp-7d,0.15811691400207728
ATSC7s,0.15754594405100386
PEOE_VSA7,0.15747308159935125
BCUTdv-1l,0.15693094673710561
MATS4s,0.15622959621592392
GATS1se,0.15588073067952601
MATS6c,0.1556773432930938
AETA_eta_RL,0.15540379702863083
AATSC7c,0.1552511353313557
MATS3s,0.15499714815143184
piPC8,0.15190276856827722
ATSC5v,0.1506276965906479
GATS7s,0.148013128748413
ATS6d,0.14756431646154544
GATS8c,0.14745461533876725
MATS1c,0.1472794003438742
ATSC7Z,0.14656773109735077
AATSC0Z,0.14603277187641295
NdsCH,0.14566827634605062
GATS6d,0.14471916095640713
AATS4d,0.14315216410121767
GATS7Z,0.14193565835591127
ATSC6d,0.14105455980345427
MATS7se,0.1407795503308824
AATSC5d,0.14035068534424733
ATSC5dv,0.1392714108508506
GATS1d,0.13846715500863516
ATSC5p,0.136248363009289
VE1_A,0.13503761805887482
GATS2v,0.13478243836477777
GATS7dv,0.1338469560494091
AATSC8Z,0.13274148862656743
MATS8se,0.13199827339453662
GATS2c,0.12945414113727916
AATSC7se,0.1287955426411309
ATSC3dv,0.1282401728189586
MATS3dv,0.12812715855188728
GATS3s,0.1277816293456957
ATSC5s,0.12774534212758448
ATSC8se,0.12753882978096565
ATSC5pe,0.12710612149730016
ETA_epsilon_5,0.1261428181414339
AATSC7p,0.12538597948911345
GATS3c,0.12440579011730657
ATS6dv,0.12261487870593024
AATS3pe,0.12045497634533353
GATS2dv,0.12002714543838122
AATSC7Z,0.11957854949122071
ATS5dv,0.1179614882375315
AATSC8d,0.11662769571732756
ATS1s,0.1160545870287697
AATS8Z,0.11604982258616392
ATS8Z,0.1130734976746881
piPC7,0.11246127427441399
ATSC2se,0.11174398126443652
ATSC2c,0.11136418588712171
ATSC6dv,0.1089660578095728
BCUTdv-1h,0.10848828979377911
ATSC6s,0.10845198527656086
TpiPC10,0.10807366840729804
ATSC6se,0.10607302833747889
ZMIC1,0.10388526764051553
JGI4,0.10378811431733004
AATSC8c,0.10345841038196557
AATS5Z,0.10236181160054292
BCUTd-1l,0.10227429804614152
AATS5v,0.09912197232916142
JGI3,0.09887056549541118
MATS2c,0.09723667522097657
AATSC7d,0.09665070806795972
Kier1,0.09624668568892858
MATS7c,0.09552923974570993
GATS5se,0.09549983254566685
ATSC8s,0.09338866500280885
RotRatio,0.09232383023622637
piPC1,0.09225578438350945
GATS4c,0.0919651919398472
ATSC5c,0.0910982090291248
AATSC8s,0.0895094346836447
Xp-5d,0.08814589984966847
GATS5s,0.0877322578483124
AATS3v,0.08671164432052558
ZMIC2,0.08655084311489247
SpAbs_DzZ,0.0854517897456133
GATS2se,0.08543669845306923
GATS2Z,0.08527689413375716
ATSC3se,0.08375903720919631
AATSC6c,0.08268510217524394
AATSC6d,0.07883171924694876
AATS3i,0.07747454533674647
AATSC7s,0.07736189326858067
MATS5s,0.07714260637327497
MATS8c,0.07607837119692329
AATS0d,0.07553646417271453
ATSC5se,0.07530475582246288
AATSC5Z,0.07126709267214082
ATS1dv,0.07052059813263556
MATS6s,0.0693250060984818
GATS5d,0.06915283081088486
VSA_EState7,0.06866044607529842
EState_VSA3,0.06852316407702475
MATS5c,0.06749035729116093
AATSC1c,0.06748786157829967
ATSC5Z,0.06569597374171376
GATS5Z,0.06149188838407449
AATSC4c,0.06110357861249671
MATS5se,0.05912736562979859
ATSC8c,0.058983149599471485
AATS1i,0.05432332654763927
GATS4d,0.05269566758831612
AATS3se,0.04603864738272456
MATS3d,0.044431418086370744
AATSC8dv,0.044410424646629476
AATSC3se,0.04079208062751727
MATS4c,0.039428863751771015
NsOH,0.038096057814174245
EState_VSA4,0.03689888325624313
AATSC7v,0.03453754938917131
nC,0.03326392293368974
AMID_C,0.03201890304148636
ATSC1p,0.030938153917853928
SpMAD_A,0.028193338062650675
ATSC6pe,0.02723079354646485
AATSC3dv,0.020559431636563374
ATSC8v,0.020068446236506166
AATSC8v,0.01899735428720062
GATS7v,0.018552418707846297
ATSC7d,0.017870250893452955
MATS2s,0.016804123011103123
GATS6s,0.009321658869368754
ATSC6c,0.008616799750464477
ETA_shape_y,0.0055694187040171705
GATS6v,0.002569920180989893
GGI5,0.0
JGI5,0.0
MATS7s,0.0
TopoShapeIndex,0.0
VR2_A,0.0
MATS1s,0.0
ATSC3c,0.0
MATS8s,0.0
ATSC8Z,0.0
AATSC6v,0.0
ATSC8d,0.0
AATSC6Z,0.0
ATSC6Z,0.0
MATS3c,0.0
BertzCT,0.0
ATSC1v,0.0
MATS3se,0.0
GATS6Z,0.0
AATS8d,0.0
MDEC-33,0.0
AATS5d,0.0
GATS5dv,0.0
ATSC8pe,0.0
Xp-7d,0.0
